Time (ms),Voltage (V),Current (A),Torque (N*m),Speed (RPM),Efficiency (%)
11,904.00,0.00,0.59,____,_____
11,712.00,0.00,0.29,____,_____
11,664.00,0.00,0.00,____,_____
11,916.00,0.00,0.00,____,_____
11,940.00,0.00,0.00,____,_____
11,788.00,0.00,0.00,____,_____
12,872.00,0.00,0.00,____,_____
12,852.00,0.00,0.00,____,_____
12,932.00,0.00,0.00,____,_____
12,1012.00,0.00,0.00,____,_____
12,692.00,0.00,0.00,____,_____
12,696.00,0.00,0.00,____,_____
12,720.00,0.00,0.00,____,_____
12,908.00,0.00,0.00,____,_____
12,1016.00,0.00,0.00,____,_____
12,704.00,0.00,0.00,____,_____
13,864.00,0.00,0.00,____,_____
13,724.00,0.00,0.00,____,_____
13,664.00,0.00,0.00,____,_____
13,728.00,0.00,0.00,____,_____
13,672.00,0.00,0.00,____,_____
13,696.00,0.00,0.00,____,_____
13,496.00,0.00,0.00,____,_____
13,960.00,0.00,0.00,____,_____
13,676.00,0.00,0.00,____,_____
14,1092.00,0.00,0.00,____,_____
14,800.00,0.00,0.00,____,_____
14,976.00,0.00,0.00,____,_____
14,888.00,0.00,0.00,____,_____
14,792.00,0.00,0.00,____,_____
14,936.00,0.00,0.00,____,_____
14,696.00,0.00,0.00,____,_____
14,624.00,0.00,0.00,____,_____
14,788.00,0.00,0.00,____,_____
14,992.00,0.00,0.00,____,_____
15,1048.00,0.00,0.59,____,_____
15,1024.00,0.00,0.00,____,_____
15,856.00,0.00,0.59,____,_____
15,960.00,0.00,0.29,____,_____
15,824.00,0.00,0.00,____,_____
15,652.00,0.00,0.00,____,_____
15,852.00,0.00,0.00,____,_____
15,1136.00,0.00,0.00,____,_____
15,692.00,0.00,0.00,____,_____
15,740.00,0.00,0.00,____,_____
16,812.00,0.00,0.00,____,_____
16,1028.00,0.00,0.00,____,_____
16,1056.00,0.00,0.00,____,_____
16,892.00,0.00,0.00,____,_____
16,812.00,0.00,0.00,____,_____
16,760.00,0.00,0.00,____,_____
16,676.00,0.00,0.00,____,_____
16,768.00,0.00,0.00,____,_____
16,592.00,0.00,0.00,____,_____
16,480.00,0.00,0.00,____,_____
17,840.00,0.00,0.00,____,_____
17,1012.00,0.00,0.29,____,_____
17,792.00,0.00,0.00,____,_____
17,1124.00,0.00,0.00,____,_____
17,784.00,0.00,0.00,____,_____
17,812.00,0.00,0.00,____,_____
17,776.00,0.00,0.00,____,_____
17,748.00,0.00,0.00,____,_____
17,632.00,0.00,0.00,____,_____
17,708.00,0.00,0.00,____,_____
18,740.00,0.00,0.00,____,_____
18,928.00,0.00,0.00,____,_____
18,1064.00,0.00,0.00,____,_____
18,956.00,0.00,0.00,____,_____
18,836.00,0.00,0.00,____,_____
18,828.00,0.00,0.00,____,_____
18,860.00,0.00,0.00,____,_____
18,660.00,0.00,0.00,____,_____
18,780.00,0.00,0.00,____,_____
18,860.00,0.00,0.59,____,_____
19,784.00,0.00,0.29,____,_____
19,848.00,0.00,0.00,____,_____
19,940.00,0.00,0.59,____,_____
19,1020.00,0.00,0.59,____,_____
19,1172.00,0.00,0.00,____,_____
19,756.00,0.00,0.00,____,_____
19,708.00,0.00,0.00,____,_____
19,700.00,0.00,0.00,____,_____
19,876.00,0.00,0.00,____,_____
20,992.00,0.00,0.00,____,_____
20,776.00,0.00,0.00,____,_____
20,1016.00,0.00,0.00,____,_____
20,1084.00,0.00,0.00,____,_____
20,760.00,0.00,0.00,____,_____
20,1012.00,0.00,0.00,____,_____
20,652.00,0.00,0.29,____,_____
20,756.00,0.00,0.88,____,_____
20,760.00,0.00,0.00,____,_____
20,568.00,0.00,0.00,____,_____
21,992.00,0.00,0.00,____,_____
21,968.00,0.00,0.00,____,_____
21,800.00,0.00,0.00,____,_____
21,1012.00,0.00,0.00,____,_____
21,1024.00,0.00,0.00,____,_____
21,800.00,0.00,0.29,____,_____
21,792.00,0.00,0.29,____,_____
21,744.00,0.00,0.00,____,_____
21,724.00,0.00,0.00,____,_____
21,724.00,0.00,0.00,____,_____
22,792.00,0.00,0.29,____,_____
22,900.00,0.00,0.59,____,_____
22,936.00,0.00,0.29,____,_____
22,780.00,0.00,0.00,____,_____
22,792.00,0.00,0.59,____,_____
22,980.00,0.00,0.29,____,_____
22,916.00,0.00,0.00,____,_____
22,612.00,0.00,0.00,____,_____
22,964.00,0.00,0.00,____,_____
22,560.00,0.00,0.00,____,_____
23,900.00,0.00,0.00,____,_____
23,1080.00,0.00,0.00,____,_____
23,908.00,0.00,0.00,____,_____
23,772.00,0.00,0.00,____,_____
23,976.00,0.00,0.00,____,_____
23,560.00,0.00,0.00,____,_____
23,620.00,0.00,0.00,____,_____
23,712.00,0.00,0.00,____,_____
23,756.00,0.00,0.00,____,_____
23,864.00,0.00,0.00,____,_____
24,904.00,0.00,0.00,____,_____
24,848.00,0.00,0.00,____,_____
24,940.00,0.00,0.00,____,_____
24,1080.00,0.00,0.00,____,_____
24,684.00,0.00,0.59,____,_____
24,1256.00,0.00,0.59,____,_____
24,676.00,0.00,0.59,____,_____
24,752.00,0.00,0.59,____,_____
24,1004.00,0.00,0.29,____,_____
24,692.00,0.00,0.00,____,_____
25,380.00,0.00,0.00,____,_____
25,676.00,0.00,0.00,____,_____
25,952.00,0.00,0.00,____,_____
25,1156.00,0.00,0.00,____,_____
25,848.00,0.00,0.00,____,_____
25,1112.00,0.00,0.00,____,_____
25,976.00,0.00,0.59,____,_____
25,868.00,0.00,0.29,____,_____
25,792.00,0.00,0.00,____,_____
26,592.00,0.00,0.59,____,_____
26,768.00,0.00,0.29,____,_____
26,844.00,0.00,0.00,____,_____
26,844.00,0.00,0.00,____,_____
26,764.00,0.00,0.00,____,_____
26,876.00,0.00,0.00,____,_____
26,864.00,0.00,0.00,____,_____
26,964.00,0.00,0.00,____,_____
26,656.00,0.00,0.00,____,_____
26,680.00,0.00,0.59,____,_____
27,740.00,0.00,0.29,____,_____
27,968.00,0.00,0.00,____,_____
27,628.00,0.00,0.00,____,_____
27,804.00,0.00,0.00,____,_____
27,776.00,0.00,0.00,____,_____
27,548.00,0.00,0.00,____,_____
27,832.00,0.00,0.00,____,_____
27,980.00,0.00,0.00,____,_____
27,968.00,0.00,0.00,____,_____
27,824.00,0.00,0.00,____,_____
28,648.00,0.00,0.00,____,_____
28,736.00,0.00,0.00,____,_____
28,572.00,0.00,0.00,____,_____
28,876.00,0.00,0.00,____,_____
28,788.00,0.00,0.00,____,_____
28,904.00,0.00,0.00,____,_____
28,928.00,0.00,0.00,____,_____
28,1012.00,0.00,0.59,____,_____
28,956.00,0.00,0.29,____,_____
28,704.00,0.00,0.00,____,_____
29,996.00,0.00,0.00,____,_____
29,600.00,0.00,0.00,____,_____
29,864.00,0.00,0.00,____,_____
29,756.00,0.00,0.00,____,_____
29,944.00,0.00,0.00,____,_____
29,636.00,0.00,0.00,____,_____
29,1032.00,0.00,0.00,____,_____
29,520.00,0.00,0.00,____,_____
29,744.00,0.00,0.00,____,_____
29,580.00,0.00,0.00,____,_____
30,804.00,0.00,0.00,____,_____
30,760.00,0.00,0.00,____,_____
30,796.00,0.00,0.00,____,_____
30,692.00,0.00,0.59,____,_____
30,768.00,0.00,0.29,____,_____
30,944.00,0.00,0.00,____,_____
30,800.00,0.00,0.59,____,_____
30,684.00,0.00,0.00,____,_____
30,824.00,0.00,0.29,____,_____
30,804.00,0.00,0.00,____,_____
31,584.00,0.00,0.00,____,_____
